id,dist_cap_km,taxa_fec,renda_cap,pobreza,pop_ate_25_2000,perc_ate_25_2000,var_pop_ate_25,perc_pop_urb,player
240600,344.37408,2.2,82.04,62.11,2986,0.505416384563304,0.9576651699807569,0.5563642518618822,0
240620,78.95236526,3.92,77.69,61.64,3336,0.592645230058625,1.034739454094293,0.6017054538994493,0
240630,46.77467862,3.79,60.27,64.83,3694,0.5776387802971071,1.2064010450685827,0.3355746677091478,0
260870,130.5949549,3.79,74.16,60.99,8857,0.5501242236024845,0.8645192776964373,0.46335403726708074,0
230750,340.6831392,3.13,70.57,64.21,16501,0.5288273563439413,0.9429142857142857,0.5361663942569624,0
240700,358.025014,2.79,68.61,68.76,5011,0.5474109678828927,0.9243681977494927,0.6452916757701551,0
310620,0.0,1.65,557.44,40.64,997385,0.44555435139015587,0.9973461035019634,1.0,1
421040,164.7020674,2.5,332.05,39.27,2680,0.48366720808518315,1.10698058653449,0.635444865547735,0
320332,95.00001714,2.5,226.36,42.31,15292,0.4996895729176878,1.33531260915124,0.7762964415253406,0
270460,183.3574976,4.37,48.21,68.43,8476,0.619273763425148,1.13149112268055,0.38386790385036895,0
240730,331.5338788,2.02,75.61,63.18,4342,0.5185715991878658,0.8592915099940629,0.4942075719574824,0
270480,63.22568464,3.4,100.25,55.91,8399,0.554572466160449,0.9219538968166849,0.6669527896995708,0
314085,551.3892249,4.57,62.61,62.96,5384,0.626046511627907,0.646882133845969,0.4352325581395349,1
292105,480.2718729,3.27,48.0,68.61,5818,0.5680531146260496,1.046214709584607,0.2693809802772896,0
160040,30.11432944,4.94,87.18,60.04,8002,0.6676122142499583,1.296710419705072,0.4982479559486067,0
421080,173.4058946,2.36,367.39,39.93,3265,0.4611581920903955,0.8443237651926558,0.45296610169491525,0
314150,296.8587407,2.21,131.19,52.87,3037,0.4831371301304486,0.7556606120925603,0.4727966910594973,1
314250,166.6723956,2.71,145.45,48.31,1365,0.5292749127568825,0.781786941580756,0.5490500193873594,1
292150,295.3335981,4.42,47.34,68.98,30246,0.5544434667839859,0.9697027988842936,0.13246077137410178,0
314330,342.615388,2.06,245.43,42.06,160961,0.5243934620634833,1.1087300931283408,0.9421268166817073,1
292180,474.2464471,2.74,87.5,60.35,6538,0.5189712652802032,0.8628744885838723,0.3964121289093507,0
521390,119.3994037,2.19,194.12,40.31,2632,0.45394963780614006,0.6738351254480287,0.6200413935839945,0
292225,555.6952735,3.86,74.09,62.52,5646,0.6237295625276182,1.0428518655338013,0.11014140521431728,0
314400,263.2488694,2.25,213.57,38.52,13396,0.5018544187614731,0.8767589501930755,0.4463342449331285,1
160030,0.0,3.25,253.69,47.78,170635,0.6022950287319807,1.553472746970621,0.9552430570262753,0
171420,183.9204367,3.17,134.9,50.75,5069,0.5716702379609789,1.0501346592086183,0.7216645990752227,0
431270,332.6317261,3.11,197.95,50.18,6390,0.4983621899859616,0.9525939177101967,0.6858524411168304,0
240830,79.86234603,3.04,84.17,57.78,18689,0.5523733522492168,1.0500028091465812,0.639415972099072,0
510622,195.3539558,2.69,395.34,40.96,7972,0.5379943312187879,1.2775641025641025,0.7002294506681064,0
314520,107.646309,2.16,371.11,31.5,19908,0.5316313723395732,2.0149797570850203,0.9432264266830453,1
150530,818.4658627,4.75,134.23,52.91,30320,0.6273276504179426,1.2889512392126854,0.6037614830753952,0
150549,476.711415,3.65,106.64,53.18,4626,0.6132025450689289,1.3942133815551536,0.5090137857900318,0
110020,0.0,2.63,305.21,45.25,187924,0.5615354044839405,1.2712599357348215,0.8178694260759395,0
